date,game,map,match_type,my_duration,my_rank,rp_earned,premade_squad,voice_chat,squad_placed,teamate_count,my_quit,teamate_quit_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,my_assists,teamate_1_assists,teamate_2_assists,my_knocks,teamate_1_knocks,teamate_2_knocks,my_revives,teamate_1_revives,teamate_2_revives,my_respawns,teamate_1_respawns,teamate_2_respawns,,
11/11/2022,108,broken moon,ranked,NA,G4,-37,no,no,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/11/2022,109,broken moon,ranked,1086,G4,63,no,yes,6,2,0,0,Ashe,Vantage,Rampart,1213,652,671,1,3,3,2,0,0,1,3,4,0,0,0,0,0,0,,
11/11/2022,110,broken moon,ranked,334,G4,-35,no,yes,14,2,0,0,Ashe,Octane,Rampart,378,199,185,0,1,1,2,0,0,0,1,2,2,0,0,0,0,0,,
11/11/2022,111,broken moon,ranked,1125,G4,127,no,yes,2,2,0,0,Vantage,Caustic,Seer,878,290,168,1,1,1,2,0,2,1,2,2,1,1,1,1,0,0,,
11/12/2022,112,broken moon,ranked,461,G3,-12,no,no,9,2,0,0,Vantage,Crypto,Bangalore,0,295,809,0,1,2,0,0,1,0,1,2,0,0,0,0,0,0,,
11/12/2022,113,broken moon,ranked,209,G3,-27,no,no,11,2,0,0,Vantage,Seer,Catalyst,175,71,317,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,
11/12/2022,114,broken moon,ranked,738,G3,91,no,no,6,2,0,0,Crypto,Bloodhound,Mirage,1368,796,508,4,2,2,2,0,2,5,3,3,0,1,0,0,1,0,,
11/13/2022,115,broken moon,casual,466,G3,0,no,no,10,2,0,2,Fuse,Octane,Ashe,697,0,211,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,,
11/13/2022,116,broken moon,casual,1179,G3,0,no,no,1,2,0,0,Fuse,Ashe,Vantage,1469,853,1173,5,2,4,1,7,3,5,3,4,0,0,2,0,0,0,,
11/13/2022,117,olympus,casual,532,G3,0,no,no,3,2,0,0,Ashe,Pathfinder,Horizon,588,1264,1410,3,6,6,1,2,4,3,6,6,1,0,0,0,0,0,,
11/13/2022,118,olympus,casual,536,G3,0,no,no,4,2,0,0,Ashe,NA,Wraith,257,534,598,1,1,1,0,2,1,1,2,2,0,0,0,0,0,0,,
11/13/2022,119,olympus,casual,91,G3,0,no,no,18,2,0,1,Ashe,Maggie,Bangalore,248,37,150,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,
11/13/2022,120,broken moon,ranked,786,G3,28,no,no,6,2,0,0,Ashe,Pathfinder,Bloodhound,598,970,468,2,1,0,0,0,1,4,3,0,0,0,2,0,0,0,,
11/13/2022,121,broken moon,ranked,462,G3,-32,no,no,10,2,0,0,Ashe,Wraith,Octane,164,731,422,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,,
11/13/2022,122,broken moon,ranked,946,G3,NA,no,no,5,2,0,1,Ashe,Bloodhound,Octane,224,249,140,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,
11/13/2022,123,broken moon,ranked,150,G3,-37,no,no,15,2,0,0,Vantage,Pathfinder,Crypto,50,636,219,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
11/13/2022,124,broken moon,ranked,939,G3,70,no,yes,3,2,0,0,Vantage,Catalyst,Mirage,231,448,683,1,2,0,0,1,3,1,2,1,0,0,0,0,0,0,,
11/14/2022,125,broken moon,ranked,478,G3,-37,no,no,17,2,0,0,Vantage,Mirage,Octane,305,24,210,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,
11/14/2022,126,broken moon,ranked,259,G3,-32,no,no,12,2,0,0,Vantage,Seer,Caustic,494,167,453,1,1,1,1,0,1,2,2,1,1,0,1,0,0,0,,
11/14/2022,127,broken moon,ranked,99,G3,-37,no,no,14,2,0,0,Vantage,Crypto,Horizon,241,0,259,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,
11/14/2022,128,broken moon,ranked,1037,G3,138,no,no,2,2,0,0,Vantage,Bloodhound,Lifeline,441,1388,167,1,3,1,1,1,0,1,4,1,1,0,0,2,0,0,,
11/14/2022,129,broken moon,ranked,NA,G3,40,no,yes,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/14/2022,130,broken moon,ranked,1216,G3,236,yes,yes,1,2,0,0,Vantage,Lifeline,Mirage,775,737,655,2,4,2,2,1,5,2,4,2,0,1,1,0,0,0,,
